variant,solved_to_time,rod_surface_speed_mean,rod_surface_speed_min,rod_surface_speed_max,rod_surface_speed_std,rod_height_slice_mean_speed,rod_height_slice_uniformity_cv,fan_inflow_m3s,outlet_outflow_m3s,mass_balance_error_pct,internal_gauge_pressure_pa_mean,internal_gauge_pressure_pa_max
long_vents_lengthwise,500.0,1.0093954,0.0462638,2.9884474,0.60110146,0.73564214,0.7043707,-0.014245304332826895,0.012225943472772102,14.175624562834892,17.727917,25.480341
fewer_vents_lengthwise,500.0,0.96832186,0.11985552,2.870664,0.458628,0.7212553,0.5995532,-0.014245304332826895,0.011585489861193744,18.671517361014683,66.09962,70.615746
big_vents_lengthwise,500.0,1.0213401,0.2726329,3.1766977,0.49148482,0.7568698,0.6103844,-0.014246040435160038,0.01218458906633945,14.470346186388804,20.126396,25.226149
